,MPKI,,,,,,APKI,,,,,,CPI,,,,,,DIFF,,
Benchmark,None,DCUI,DCUP,L2A,L2P,All,None,DCUI,DCUP,L2A,L2P,All,None,DCUI,DCUP,L2A,L2P,All,MPKI,APKI,CPI
603.bwaves_s.1,3.53,1.24,3.02,2.68,0.13,0.06,3.56,1.26,3.05,2.70,0.15,0.07,0.45,0.42,0.45,0.44,0.36,0.35,0.02,0.02,0.78
603.bwaves_s.2,3.22,1.39,2.75,2.46,0.12,0.06,3.25,1.41,2.77,2.49,0.17,0.08,0.44,0.41,0.43,0.42,0.35,0.35,0.02,0.03,0.80
607.cactuBSSN_s.1,8.14,6.69,7.17,7.86,6.11,5.66,8.37,6.90,7.38,8.08,6.33,5.87,0.93,0.90,0.91,0.91,0.87,0.85,0.69,0.70,0.92
619.lbm_s.1,35.23,27.48,33.54,22.80,6.88,6.57,35.75,28.01,34.08,23.37,7.09,6.78,1.90,1.84,1.88,1.78,1.34,1.33,0.19,0.19,0.70
621.wrf_s.1,1.05,0.61,0.75,0.82,0.20,0.17,3.54,1.93,2.59,2.72,1.09,0.96,1.26,1.21,1.23,1.23,1.19,1.19,0.16,0.27,0.94
625.x264_s.1,0.40,0.31,0.34,0.32,0.20,0.08,0.69,0.50,0.55,0.54,0.34,0.16,0.37,0.36,0.36,0.36,0.35,0.34,0.21,0.23,0.92
625.x264_s.2,0.09,0.06,0.06,0.08,0.06,0.03,0.21,0.11,0.12,0.19,0.15,0.06,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.27,0.98
625.x264_s.3,0.11,0.07,0.07,0.09,0.07,0.03,0.21,0.11,0.13,0.17,0.14,0.05,0.33,0.32,0.32,0.33,0.32,0.32,0.24,0.24,0.97
627.cam4_s.1,4.55,4.41,4.44,4.39,1.62,1.53,5.24,5.01,5.05,5.03,2.03,1.90,0.73,0.72,0.72,0.71,0.67,0.67,0.34,0.36,0.92
628.pop2_s.1,3.22,1.56,1.78,2.73,0.71,0.51,4.50,2.08,2.50,3.75,1.04,0.74,0.72,0.59,0.63,0.65,0.53,0.52,0.16,0.16,0.71
638.imagick_s.1,0.02,0.01,0.01,0.01,0.01,0.01,2.92,2.87,2.88,3.30,4.06,4.64,2.62,2.73,2.72,2.64,2.70,2.78,0.29,1.59,1.06
644.nab_s.1,0.41,0.08,0.40,0.23,0.03,0.01,0.79,0.36,0.76,0.63,0.33,0.53,0.83,0.78,0.83,0.82,0.78,0.80,0.03,0.67,0.96
649.fotonik3d_s.1,24.01,5.60,12.75,18.05,5.46,2.69,24.95,5.99,13.59,18.75,5.87,2.92,2.14,1.58,1.96,1.87,1.18,1.10,0.11,0.12,0.52
654.roms_s.1,13.45,4.88,6.31,10.09,1.61,1.03,17.94,7.34,9.46,13.22,2.38,1.72,1.20,0.83,0.96,0.99,0.62,0.60,0.08,0.10,0.50
657.xz_s.1,1.33,1.18,1.25,1.24,1.12,1.06,2.11,1.95,2.03,2.01,1.86,1.79,0.76,0.74,0.74,0.74,0.73,0.72,0.79,0.85,0.96
657.xz_s.2,5.76,5.50,5.66,5.73,5.69,5.47,7.16,6.71,7.07,7.10,7.01,6.67,1.35,1.34,1.35,1.34,1.33,1.34,0.95,0.93,1.00
