,MPKI,,,,,,APKI,,,,,,CPI,,,,,
Benchmark,None,DCUI,DCUP,L2A,L2P,All,None,DCUI,DCUP,L2A,L2P,All,None,DCUI,DCUP,L2A,L2P,All
600.perlbench_s.1,0.01,0.01,0.01,0.01,0.01,0.01,0.65,0.60,0.61,0.60,0.57,0.52,0.38,0.38,0.38,0.38,0.38,0.38
600.perlbench_s.2,0.10,0.06,0.09,0.08,0.04,0.03,0.14,0.09,0.13,0.12,0.07,0.05,0.39,0.39,0.39,0.39,0.39,0.39
600.perlbench_s.3,0.08,0.07,0.08,0.09,0.10,0.12,1.89,1.61,1.81,1.89,1.79,1.56,0.43,0.41,0.42,0.44,0.43,0.44
602.gcc_s.1,9.99,0.76,6.38,6.38,1.14,0.38,22.02,2.89,10.53,14.79,2.96,1.70,3.31,1.60,2.74,2.26,0.84,0.73
602.gcc_s.2,0.49,0.38,0.45,0.46,0.32,0.25,4.38,3.66,4.09,4.05,2.98,2.56,0.75,0.73,0.74,0.74,0.71,0.69
602.gcc_s.3,0.66,0.52,0.61,0.61,0.41,0.32,4.45,3.62,4.13,4.09,3.07,2.60,0.75,0.73,0.74,0.74,0.70,0.68
605.mcf_s.1,18.66,11.28,16.12,18.38,10.99,8.18,52.00,34.34,49.43,51.21,40.95,31.36,1.81,1.62,1.78,1.77,1.46,1.41
620.omnetpp_s.1,3.24,3.19,3.49,3.31,3.57,3.93,13.26,12.93,12.49,12.78,12.68,12.79,1.10,1.06,1.11,1.06,1.07,1.15
623.xalancbmk_s.1,0.17,0.17,0.16,0.16,0.15,0.16,6.69,4.09,6.04,5.80,3.06,2.70,0.73,0.65,0.70,0.69,0.65,0.65
625.x264_s.1,0.40,0.31,0.34,0.32,0.20,0.08,0.69,0.50,0.55,0.54,0.34,0.16,0.37,0.36,0.36,0.36,0.35,0.34
625.x264_s.2,0.09,0.06,0.06,0.08,0.06,0.03,0.21,0.11,0.12,0.19,0.15,0.06,0.32,0.32,0.32,0.32,0.32,0.32
625.x264_s.3,0.11,0.07,0.07,0.09,0.07,0.03,0.21,0.11,0.13,0.17,0.14,0.05,0.33,0.32,0.32,0.33,0.32,0.32
631.deepsjeng_s.1,0.89,0.89,0.87,0.89,0.64,0.62,0.96,0.96,0.95,0.96,0.68,0.66,0.59,0.59,0.59,0.59,0.58,0.58
641.leela_s.1,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.24,0.26,0.25,0.14,0.13,0.82,0.82,0.82,0.82,0.82,0.82
648.exchange2_s.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.54,0.54,0.54,0.54,0.54
