Benchmark,Instr,Lect,Escr,MPKI1,MPKI2,MPKI3,CPI
400.perlbench.1,1052,27%,13%,7.59,0.58,0.01,0.37
400.perlbench.2,360,29%,17%,13.33,0.03,0.01,0.34
400.perlbench.3,656,29%,10%,2.69,0.22,0.02,0.31
401.bzip2.1,409,30%,11%,14.31,1.23,0.02,0.66
401.bzip2.2,174,24%,11%,12.17,1.67,0.01,0.47
401.bzip2.3,291,24%,7%,18.71,3.69,0.01,0.46
401.bzip2.4,532,27%,12%,8.30,0.60,0.02,0.51
401.bzip2.5,583,35%,7%,14.15,1.69,0.02,0.54
401.bzip2.6,327,29%,11%,14.19,1.35,0.02,0.63
403.gcc.1,69,23%,15%,34.50,5.02,0.38,0.69
403.gcc.2,140,24%,14%,21.64,2.64,0.44,0.68
403.gcc.3,123,18%,20%,44.16,2.30,0.31,0.61
403.gcc.4,91,21%,17%,33.72,2.61,0.30,0.58
403.gcc.5,100,20%,17%,38.46,3.05,0.48,0.60
403.gcc.6,137,19%,17%,38.38,3.20,0.53,0.64
403.gcc.7,168,22%,15%,35.96,2.94,1.07,0.69
403.gcc.8,149,20%,19%,39.08,3.51,0.60,0.70
403.gcc.9,54,24%,14%,19.16,1.72,0.24,0.66
410.bwaves.1,2554,38%,7%,19.57,0.16,0.14,0.44
416.gamess.1,109,32%,12%,8.48,0.00,0.00,0.36
416.gamess.2,85,34%,9%,10.23,0.00,0.00,0.33
416.gamess.3,371,32%,8%,5.45,0.01,0.00,0.30
429.mcf.1,316,31%,10%,123.18,50.33,17.48,2.20
433.milc.1,96,30%,11%,26.38,10.03,9.79,1.39
434.zeusmp.1,1915,21%,9%,22.08,1.30,1.07,0.52
435.gromacs.1,1948,37%,14%,11.76,0.03,0.00,0.45
436.cactusADM.1,2725,56%,20%,8.07,2.54,0.64,0.63
437.leslie3d.1,178,31%,8%,29.40,0.34,0.16,0.37
444.namd.1,2284,24%,6%,10.36,0.02,0.00,0.48
445.gobmk.1,23,25%,14%,12.64,0.27,0.02,0.76
445.gobmk.2,61,25%,14%,11.39,0.26,0.02,0.73
445.gobmk.3,31,25%,11%,11.50,0.12,0.01,0.69
445.gobmk.4,23,25%,15%,12.50,0.22,0.02,0.75
445.gobmk.5,33,25%,15%,10.79,0.17,0.02,0.71
447.dealII.1,1645,35%,9%,17.78,2.75,0.18,0.47
450.soplex.1,344,22%,8%,53.60,14.12,1.01,0.93
450.soplex.2,350,30%,4%,28.95,4.39,2.03,0.74
453.povray.1,940,34%,15%,24.94,0.00,0.00,0.41
454.calculix.1,4248,20%,2%,5.59,0.06,0.02,0.50
456.hmmer.1,860,42%,16%,6.80,0.03,0.00,0.36
456.hmmer.2,1823,42%,16%,4.73,0.01,0.00,0.37
458.sjeng.1,2260,22%,9%,2.67,0.38,0.26,0.56
459.GemsFDTD.1,1723,41%,10%,29.49,3.05,2.78,0.64
462.libquantum.1,1647,14%,5%,20.64,2.63,2.45,0.56
464.h264ref.1,495,42%,11%,4.08,0.12,0.00,0.33
464.h264ref.2,322,40%,16%,14.05,0.08,0.00,0.40
464.h264ref.3,2887,42%,16%,15.69,0.10,0.01,0.38
465.tonto.1,3443,24%,11%,10.39,0.16,0.01,0.44
470.lbm.1,1235,19%,8%,50.38,0.04,0.02,0.60
471.omnetpp.1,541,28%,17%,37.10,19.40,4.62,1.40
473.astar.1,359,32%,9%,31.22,6.31,0.32,1.01
473.astar.2,752,29%,8%,20.75,1.73,0.01,0.90
481.wrf.1,2931,25%,7%,11.90,0.22,0.14,0.41
482.sphinx3.1,3385,24%,2%,17.37,1.54,0.00,0.43
483.xalancbmk.1,994,29%,6%,27.62,3.82,0.28,0.53
AVG,933,29%,12%,21.45,3.00,0.87,0.61
